scenario,rauschform,rauschstufe_prozent,vorverarbeitung,verfahren,mittlerer_paarweiser_ari,std_paarweiser_ari,anzahl_vergleiche
mit_rauschen_und_vorverarbeitung,irrelevante_merkmale,20,True,rtkm,1.0,0.0,190
mit_rauschen,ausreisser,30,False,kmeans,1.0,0.0,190
mit_rauschen,ausreisser,30,False,hierarchisch,1.0,0.0,190
mit_rauschen,ausreisser,30,False,dbscan,1.0,0.0,190
mit_rauschen,ausreisser,30,False,rtkm,0.894622649845521,0.2175912744498771,190
mit_rauschen_und_vorverarbeitung,ausreisser,30,True,kmeans,1.0,0.0,190
mit_rauschen_und_vorverarbeitung,ausreisser,30,True,hierarchisch,1.0,0.0,190
mit_rauschen_und_vorverarbeitung,ausreisser,30,True,dbscan,1.0,0.0,190
mit_rauschen_und_vorverarbeitung,ausreisser,30,True,rtkm,0.7165604066767021,0.1709637913216297,190
mit_rauschen,zwischencluster_ausreisser,30,False,kmeans,1.0,0.0,190
mit_rauschen,zwischencluster_ausreisser,30,False,hierarchisch,0.9937638980112599,0.0061717818372919375,190
mit_rauschen,zwischencluster_ausreisser,30,False,dbscan,0.4182483403547816,0.41183094463479014,190
mit_rauschen,zwischencluster_ausreisser,30,False,rtkm,0.8018316742338292,0.07241230311479233,190
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,30,True,kmeans,0.9975095239346469,0.001670916804673777,190
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,30,True,hierarchisch,0.9975095239346469,0.001670916804673777,190
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,30,True,dbscan,0.9975095239346469,0.001670916804673777,190
mit_rauschen_und_vorverarbeitung,zwischencluster_ausreisser,30,True,rtkm,0.7422291819239096,0.1577517864654956,190
mit_rauschen,irrelevante_merkmale,30,False,kmeans,1.0,0.0,190
mit_rauschen,irrelevante_merkmale,30,False,hierarchisch,1.0,0.0,190
mit_rauschen,irrelevante_merkmale,30,False,dbscan,1.0,0.0,190
mit_rauschen,irrelevante_merkmale,30,False,rtkm,1.0,0.0,190
mit_rauschen_und_vorverarbeitung,irrelevante_merkmale,30,True,kmeans,1.0,0.0,190
mit_rauschen_und_vorverarbeitung,irrelevante_merkmale,30,True,hierarchisch,1.0,0.0,190
mit_rauschen_und_vorverarbeitung,irrelevante_merkmale,30,True,dbscan,0.9949010031272653,0.0032062364676357013,190
mit_rauschen_und_vorverarbeitung,irrelevante_merkmale,30,True,rtkm,1.0,0.0,190
